ticker,event_ticker,series_ticker,league,title,subtitle,yes_sub_title,no_sub_title,market_type,status,result,label_kind,label_usable,result_binary,settlement_value,last_price,yes_bid,yes_ask,no_bid,no_ask,implied_prob_close,odds_multiplier_yes,odds_multiplier_no,edge_yes,edge_no,volume,open_interest,spread,notional_value,open_time,close_time,expiration_time,settlement_ts,created_time,strike_type,floor_strike,cap_strike,functional_strike,can_close_early,rules_primary
KXNBAPTS-26MAR21GSWATL-ATLCMCCOLLUM3-30,KXNBAPTS-26MAR21GSWATL,,NBA,CJ McCollum: 30+ points,,CJ McCollum: 30+,CJ McCollum: 30+,binary,finalized,no,binary,True,0.0,0.0,0.36,0.0,0.59,0.41,1.0,0.36,2.7777777777777777,1.5625,-1.0,0.5625,6583.0,6583.0,0.59,1.0,2026-03-21T05:11:00Z,2026-03-22T02:50:41Z,2026-04-05T00:00:00Z,2026-03-22T02:56:40.844394Z,2026-03-21T05:01:49.842521Z,structured,29.5,,,True,"If CJ McCollum records 30+ Points in the Golden State at Atlanta professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNBAPTS-26MAR21GSWATL-ATLNALEXANDERWALKER7-15,KXNBAPTS-26MAR21GSWATL,,NBA,Nickeil Alexander-Walker: 15+ points,,Nickeil Alexander-Walker: 15+,Nickeil Alexander-Walker: 15+,binary,finalized,yes,binary,True,1.0,1.0,0.99,0.99,1.0,0.0,0.01,0.99,1.0101010101010102,99.99999999999991,0.010101010101010166,-1.0,1330.0,1326.0,0.010000000000000009,1.0,2026-03-21T05:11:00Z,2026-03-22T02:50:41Z,2026-04-05T00:00:00Z,2026-03-22T02:56:40.845116Z,2026-03-21T05:01:49.842521Z,structured,14.5,,,True,"If Nickeil Alexander-Walker records 15+ Points in the Golden State at Atlanta professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNBAPTS-26MAR21GSWATL-ATLNALEXANDERWALKER7-20,KXNBAPTS-26MAR21GSWATL,,NBA,Nickeil Alexander-Walker: 20+ points,,Nickeil Alexander-Walker: 20+,Nickeil Alexander-Walker: 20+,binary,finalized,no,binary,True,0.0,0.0,0.25,0.0,0.23,0.77,1.0,0.25,4.0,1.3333333333333333,-1.0,0.33333333333333326,6282.0,6230.0,0.23,1.0,2026-03-21T05:11:00Z,2026-03-22T02:50:41Z,2026-04-05T00:00:00Z,2026-03-22T02:56:40.845785Z,2026-03-21T05:01:49.842521Z,structured,19.5,,,True,"If Nickeil Alexander-Walker records 20+ Points in the Golden State at Atlanta professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNBAPTS-26MAR21GSWATL-ATLNALEXANDERWALKER7-25,KXNBAPTS-26MAR21GSWATL,,NBA,Nickeil Alexander-Walker: 25+ points,,Nickeil Alexander-Walker: 25+,Nickeil Alexander-Walker: 25+,binary,finalized,no,binary,True,0.0,0.0,0.29,0.0,0.59,0.41,1.0,0.29,3.4482758620689657,1.4084507042253522,-1.0,0.40845070422535223,3800.0,3798.0,0.59,1.0,2026-03-21T05:11:00Z,2026-03-22T02:50:41Z,2026-04-05T00:00:00Z,2026-03-22T02:56:40.846232Z,2026-03-21T05:01:49.842521Z,structured,24.5,,,True,"If Nickeil Alexander-Walker records 25+ Points in the Golden State at Atlanta professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNBAPTS-26MAR21GSWATL-ATLOOKONGWU17-15,KXNBAPTS-26MAR21GSWATL,,NBA,Onyeka Okongwu: 15+ points,,Onyeka Okongwu: 15+,Onyeka Okongwu: 15+,binary,finalized,no,binary,True,0.0,0.0,0.52,0.0,0.79,0.21,1.0,0.52,1.923076923076923,2.0833333333333335,-1.0,1.0833333333333335,3945.0,3942.0,0.79,1.0,2026-03-21T05:11:00Z,2026-03-22T02:50:40Z,2026-04-05T00:00:00Z,2026-03-22T02:56:40.841658Z,2026-03-21T05:01:49.842521Z,structured,14.5,,,True,"If Onyeka Okongwu records 15+ Points in the Golden State at Atlanta professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNBAPTS-26MAR21GSWATL-ATLOOKONGWU17-20,KXNBAPTS-26MAR21GSWATL,,NBA,Onyeka Okongwu: 20+ points,,Onyeka Okongwu: 20+,Onyeka Okongwu: 20+,binary,finalized,no,binary,True,0.0,0.0,0.24,0.0,0.59,0.41,1.0,0.24,4.166666666666667,1.3157894736842106,-1.0,0.3157894736842106,3212.0,3211.0,0.59,1.0,2026-03-21T05:11:00Z,2026-03-22T02:50:40Z,2026-04-05T00:00:00Z,2026-03-22T02:56:40.842358Z,2026-03-21T05:01:49.842521Z,structured,19.5,,,True,"If Onyeka Okongwu records 20+ Points in the Golden State at Atlanta professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNBAPTS-26MAR21GSWATL-ATLOOKONGWU17-25,KXNBAPTS-26MAR21GSWATL,,NBA,Onyeka Okongwu: 25+ points,,Onyeka Okongwu: 25+,Onyeka Okongwu: 25+,binary,finalized,no,binary,True,0.0,0.0,0.08,0.0,0.08,0.92,1.0,0.08,12.5,1.0869565217391304,-1.0,0.08695652173913038,10.0,10.0,0.08,1.0,2026-03-21T05:11:00Z,2026-03-22T02:50:40Z,2026-04-05T00:00:00Z,2026-03-22T02:56:40.843137Z,2026-03-21T05:01:49.842521Z,structured,24.5,,,True,"If Onyeka Okongwu records 25+ Points in the Golden State at Atlanta professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNBAPTS-26MAR21GSWATL-ATLCMCCOLLUM3-25,KXNBAPTS-26MAR21GSWATL,,NBA,CJ McCollum: 25+ points,,CJ McCollum: 25+,CJ McCollum: 25+,binary,finalized,no,binary,True,0.0,0.0,0.16,0.0,1.0,0.0,1.0,0.16,6.25,1.1904761904761905,-1.0,0.19047619047619047,4038.0,3971.0,1.0,1.0,2026-03-21T05:11:00Z,2026-03-22T02:50:40Z,2026-04-05T00:00:00Z,2026-03-22T02:56:40.843791Z,2026-03-21T05:01:49.842521Z,structured,24.5,,,True,"If CJ McCollum records 25+ Points in the Golden State at Atlanta professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNBAPTS-26MAR21GSWATL-ATLOOKONGWU17-10,KXNBAPTS-26MAR21GSWATL,,NBA,Onyeka Okongwu: 10+ points,,Onyeka Okongwu: 10+,Onyeka Okongwu: 10+,binary,finalized,no,binary,True,0.0,0.0,0.21,0.0,0.89,0.11,1.0,0.21,4.761904761904762,1.2658227848101264,-1.0,0.26582278481012644,17.0,17.0,0.89,1.0,2026-03-21T05:11:00Z,2026-03-22T02:50:39Z,2026-04-05T00:00:00Z,2026-03-22T02:56:40.841166Z,2026-03-21T05:01:49.842521Z,structured,9.5,,,True,"If Onyeka Okongwu records 10+ Points in the Golden State at Atlanta professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNBAREB-26MAR21LACDAL-LACBLOPEZ11-5,KXNBAREB-26MAR21LACDAL,,NBA,Brook Lopez: 5+ rebounds,,Brook Lopez: 5+,Brook Lopez: 5+,binary,finalized,yes,binary,True,1.0,1.0,0.99,0.99,1.0,0.0,0.01,0.99,1.0101010101010102,99.99999999999991,0.010101010101010166,-1.0,393.0,389.0,0.010000000000000009,1.0,2026-03-21T04:10:00Z,2026-03-22T02:50:32Z,2026-04-05T00:30:00Z,2026-03-22T02:56:40.840513Z,2026-03-21T04:01:21.168983Z,structured,4.5,,,True,"If Brook Lopez records 5+ Rebounds in the Los Angeles C at Dallas professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
